hairColor,count
백색,700
황백색,470
황색,312
흑백색,211
흑황색,205
회백색,136
흑색,91
삼색,89
흑황백색,50
회색,26
백갈색,21
갈색,18
백황색,13
갈백색,12
검백색,10
흑회색,6
흑갈색,5
회황색,4
황회색,2
흑갈백색,2
흑회백색,2
아이보리색,2
회황백색,2
녹황색,1
청색,1
황록색,1
검정색,1
회녹색,1
