hairColor
백색
회백색
황백색
흑황백색
흑백색
흑황색
황색
흑색
삼색
흑회색
황회색
회색
백황색
갈색
백갈색
청색
회황색
갈백색
검백색
흑회백색
아이보리색
흑갈백색
녹황색
흑갈색
황록색
검정색
회녹색
회황백색
