weight
9.0
3.0
7.6
3.5
6.0
0.2
1.4
1.9
2.7
17.0
3.4
21.0
7.9
0.1
11.8
1.0
5.8
13.3
5.0
2.8
5.5
3.9
17.3
4.0
6.2
2.2
4.2
5.6
2.1
3.1
11.2
0.4
0.5
4.3
20.0
6.5
2.0
8.0
6.3
12.0
0.8
18.0
23.0
10.0
22.0
14.6
0.0
1.5
3.3
5.9
19.9
7.1
10.7
13.0
5.3
8.5
5.7
4.5
31.5
2.9
4.6
5.2
4.8
0.7
7.0
12.5
5.4
2.3
6.9
4.7
1.2
15.7
6.8
40.0
4.4
3.6
3.8
4.9
1.6
8.3
2.5
15.0
4.1
1.3
0.9
45.0
3.2
19.3
2.4
6.6
1.7
0.3
12.8
6.1
7.8
19.0
7.3
16.0
5.1
7.7
2.6
14.7
13.9
11.0
1.1
6.7
25.0
28.0
9.4
18.3
9.8
16.4
35.0
16.5
8.4
27.3
14.4
11.1
13.6
30.0
15.3
18.8
15.4
3.7
32.0
37.3
29.2
6.4
24.0
10.3
14.0
13.7
20.6
17.4
7.4
27.0
15.2
22.5
24.1
10.5
10.6
1.8
9.6
11.4
18.2
17.5
12.3
9.5
25.3
14.5
20.7
12.7
8.9
20.2
50.0
22.3
7.2
10.4
10.8
32.7
14.3
12.6
8.7
8.2
17.2
16.7
21.3
8.8
17.6
14.1
8.6
18.7
0.6
38.0
33.0
26.0
42.0
23.2
9.2
20.8
31.0
21.1
10.2
13.1
13.2
15.1
8.1
34.5
26.3
27.5
11.3
26.2
16.3
34.0
18.5
18.6
7.5
36.0
15.8
10.9
20.4
17.7
14.8
21.2
17.9
43.5
18.4
19.5
10.1
22.8
12.2
20.3
19.2
21.4
11.5
24.5
9.7
13.4
27.8
21.7
25.9
28.5
29.6
22.9
19.4
9.9
16.2
29.0
15.9
9.1
21.5
16.1
12.1
37.0
24.8
""
9.3
16.8
17.1
17.8
22.1
15.5
19.1
11.9
20.1
26.8
11.7
