id,0,1,2,3,4,5,6,7,8,9,10,11,12
43471,1.1801295,-1.9486002,1.1972028,1.8832304,-1.5598361,0.9778259,-2.1997237,-1.7277547,0.98579717,1.7878921,-0.9521148,1.3411194,-2.2339394
43460,1.1801295,-1.9486002,1.1972028,1.8832304,-1.5598361,0.9778259,-2.1997237,-1.7277547,0.98579717,1.7878921,-0.9521148,1.3411194,-2.2339394
43459,9.082336,-18.553007,9.261461,17.06947,-14.834344,9.776217,-18.173805,-19.109938,8.470414,15.926296,-4.3753076,10.969505,-19.297318
43452,1.1801295,-1.9486002,1.1972028,1.8832304,-1.5598361,0.9778259,-2.1997237,-1.7277547,0.98579717,1.7878921,-0.9521148,1.3411194,-2.2339394
43451,1.1801295,-1.9486002,1.1972028,1.8832304,-1.5598361,0.9778259,-2.1997237,-1.7277547,0.98579717,1.7878921,-0.9521148,1.3411194,-2.2339394
43449,1.1801295,-1.9486002,1.1972028,1.8832304,-1.5598361,0.9778259,-2.1997237,-1.7277547,0.98579717,1.7878921,-0.9521148,1.3411194,-2.2339394
43447,1.1801295,-1.9486002,1.1972028,1.8832304,-1.5598361,0.9778259,-2.1997237,-1.7277547,0.98579717,1.7878921,-0.9521148,1.3411194,-2.2339394
43440,1.1801295,-1.9486002,1.1972028,1.8832304,-1.5598361,0.9778259,-2.1997237,-1.7277547,0.98579717,1.7878921,-0.9521148,1.3411194,-2.2339394
43439,1.1801295,-1.9486002,1.1972028,1.8832304,-1.5598361,0.9778259,-2.1997237,-1.7277547,0.98579717,1.7878921,-0.9521148,1.3411194,-2.2339394
43428,1.1801295,-1.9486002,1.1972028,1.8832304,-1.5598361,0.9778259,-2.1997237,-1.7277547,0.98579717,1.7878921,-0.9521148,1.3411194,-2.2339394
43427,1.1801295,-1.9486002,1.1972028,1.8832304,-1.5598361,0.9778259,-2.1997237,-1.7277547,0.98579717,1.7878921,-0.9521148,1.3411194,-2.2339394
