id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
43473,-24.787006,14.715238,-8.981464,9.733187,8.831072,-21.793692,9.40993,30.43608,-32.939186,-8.389599,18.134352,9.92316,9.164156,-19.767813,-12.384817,-16.400255,-15.2667675,-7.117383,9.352245,27.50316,-16.027756,18.6218,68.707436,10.752903,18.804556,16.524233,9.196257,-12.471854,20.358505,-11.984045,-6.0596833,17.995176,-22.288752,-20.992638,-20.129185,-9.621314,-14.123625
43472,-23.501055,22.158136,-11.648615,8.181906,9.623142,-10.743138,4.7070565,14.824955,-43.06589,-9.612412,39.383213,6.1351333,4.029202,-10.7767515,-16.091644,-18.024172,-10.819936,-10.389692,16.136473,19.932257,-17.78022,19.114979,44.958595,7.5031567,17.926275,13.611074,6.4538026,-8.649848,16.382973,-11.601201,-2.7071056,11.41924,-11.979883,-40.634895,-12.017347,-17.412806,-16.003246
43470,-2.4260464,1.0701368,-1.3835249,0.68397814,1.5548453,-1.4818473,0.98221403,1.9390857,-3.364284,-1.2558742,1.1159382,1.264328,0.7115441,-0.64237547,-1.9272118,-1.8057929,-1.1218745,-0.62862587,1.3829026,1.4725986,-1.3429718,1.535889,3.8771071,0.5558457,1.2756159,1.489388,0.523998,-0.65672207,1.2077118,-1.0872579,-0.38557646,0.62559634,-1.1373359,-1.5954844,-1.0001156,-1.1841263,-1.5173849
43469,-10.761112,12.310279,-15.740096,9.882382,9.122098,-8.394871,4.2505445,11.724526,-29.10228,-10.983273,11.447354,8.710643,7.9714174,-8.465775,-7.6232657,-15.957246,-3.4612007,-8.276664,3.6819632,21.306248,-30.195906,14.163597,55.834377,10.234061,34.311253,35.007153,9.612098,-3.2104318,15.462652,-9.54926,-6.474958,18.996395,-7.6006274,-11.344384,-21.53566,-13.621909,-53.349964
43468,-7.677455,9.427659,-10.90047,9.19375,7.0660334,-6.4099,2.9005542,9.255071,-26.082073,-11.054557,10.44713,8.101043,7.581914,-6.8588605,-6.1698594,-13.233423,-2.4743404,-6.9975944,2.4301908,18.41922,-24.068098,11.977577,49.367897,7.392319,27.795212,30.546886,8.529392,-3.5337765,13.328667,-8.437604,-5.8312283,17.067158,-6.602815,-11.125905,-16.95367,-10.172779,-50.282745
43467,-19.48638,13.126079,-13.989082,8.813657,5.7002225,-13.752644,5.528545,14.145772,-26.887697,-11.954973,12.99825,8.572866,6.343939,-7.6640735,-6.9146996,-18.086996,-6.719369,-7.36558,4.2709384,24.652157,-17.85875,14.103615,48.95869,8.122923,17.02105,20.144821,8.480131,-4.9474874,14.836558,-7.5539584,-7.5415106,10.200417,-12.296877,-24.68764,-12.249965,-12.1979885,-20.600857
43466,-11.275829,4.460505,-16.866077,4.4936485,5.5121803,-8.748415,6.1942406,8.02333,-19.560888,-7.0084195,7.402217,5.4217257,4.068486,-3.0525231,-5.444649,-8.14717,-3.2042198,-2.354829,1.6823341,19.813469,-22.85904,6.646601,34.67962,10.912785,21.43777,19.130663,8.498278,-4.4302597,14.952952,-12.563308,-1.8844721,6.8304424,-2.8678036,-9.612493,-12.486878,-16.113697,-10.850689
43465,-13.467826,8.489109,-23.552814,8.428488,11.163909,-12.5989685,6.435321,13.536854,-23.384708,-16.429586,15.469111,6.9443545,5.428713,-6.831128,-9.276394,-18.150646,-5.755093,-9.071573,4.261268,26.019688,-31.38285,11.123347,45.112083,9.070431,22.333845,40.66978,10.075513,-4.139402,16.058205,-7.1625566,-7.708854,15.838502,-4.764167,-15.302807,-14.473726,-16.33664,-37.400227
43464,-18.061836,7.2395797,-21.535233,9.842469,7.2415504,-14.470873,6.6244082,16.051619,-31.418325,-15.172084,15.991354,11.118474,9.657266,-9.603439,-6.9567046,-25.040718,-8.768199,-9.564633,10.366784,32.43269,-28.965769,18.745422,53.901714,9.2751045,29.738703,39.08869,13.776135,-5.0822215,18.91955,-14.690579,-2.6807423,14.507523,-10.679743,-21.219898,-14.578264,-19.059834,-25.13386
43463,-27.892448,9.830996,-27.536589,9.460863,11.42525,-15.994498,11.489318,18.238045,-32.23075,-18.745665,11.100329,5.0580006,5.917355,-12.520869,-14.228438,-18.687113,-13.253123,-6.024668,5.9811316,23.105362,-24.38465,10.519953,65.32256,14.302962,30.012657,28.538527,14.644365,-7.6093245,25.136112,-30.34622,-6.3060203,23.960754,-8.721386,-19.573936,-23.517351,-17.599947,-21.803896
43462,-18.44875,11.364579,-26.858795,5.9894447,6.368461,-10.665014,7.502021,9.45055,-21.863348,-24.73773,14.098545,8.39524,8.293282,-4.893392,-3.8053231,-19.7295,-9.763656,-6.209731,11.954985,21.341602,-28.12386,9.737979,40.705997,4.517227,26.079275,44.741867,11.02976,-3.4860044,23.846762,-18.61969,-5.387758,12.304214,-4.2603045,-12.22627,-11.992081,-15.423075,-15.1535845
43461,-16.306345,7.359782,-10.946859,9.712768,5.939344,-11.7819,7.160397,14.512635,-24.122887,-18.82505,12.952613,6.4093084,7.4030643,-11.373838,-8.127281,-15.779818,-9.691688,-12.3123455,8.687541,33.534874,-11.179058,14.164721,46.12547,5.743962,11.119508,16.320814,11.497724,-1.1700591,33.386818,-13.949784,-6.559083,8.333075,-18.216312,-44.813602,-7.368879,-9.946749,-7.5438733
43458,-21.112858,14.2609,-8.681036,5.0297093,9.575597,-9.441945,9.86345,11.705606,-16.800827,-6.001673,14.712693,4.470663,5.303496,-5.001128,-9.608964,-11.319507,-6.7285104,-7.250937,5.445028,15.784437,-10.555224,5.7680693,29.514797,6.226933,9.904159,10.910856,6.104986,-4.1763473,12.137006,-7.0321074,-2.0636895,4.8685117,-8.69626,-11.938752,-6.8325663,-9.734707,-6.5482163
43457,-2.4260464,1.0701368,-1.3835249,0.68397814,1.5548453,-1.4818473,0.98221403,1.9390857,-3.364284,-1.2558742,1.1159382,1.264328,0.7115441,-0.64237547,-1.9272118,-1.8057929,-1.1218745,-0.62862587,1.3829026,1.4725986,-1.3429718,1.535889,3.8771071,0.5558457,1.2756159,1.489388,0.523998,-0.65672207,1.2077118,-1.0872579,-0.38557646,0.62559634,-1.1373359,-1.5954844,-1.0001156,-1.1841263,-1.5173849
43456,-2.4260464,1.0701368,-1.3835249,0.68397814,1.5548453,-1.4818473,0.98221403,1.9390857,-3.364284,-1.2558742,1.1159382,1.264328,0.7115441,-0.64237547,-1.9272118,-1.8057929,-1.1218745,-0.62862587,1.3829026,1.4725986,-1.3429718,1.535889,3.8771071,0.5558457,1.2756159,1.489388,0.523998,-0.65672207,1.2077118,-1.0872579,-0.38557646,0.62559634,-1.1373359,-1.5954844,-1.0001156,-1.1841263,-1.5173849
43455,-24.638802,9.957914,-18.970495,15.609861,5.3272457,-12.954864,5.80894,9.356946,-29.451733,-14.605701,14.875827,11.42442,9.176714,-6.80081,-6.672964,-25.164186,-21.21022,-9.595762,22.948631,21.545013,-22.98371,11.000465,50.985397,7.7203226,20.703094,22.2177,6.8402543,-5.451978,18.53281,-19.871273,-4.655909,12.653289,-12.291434,-18.606754,-14.48641,-16.696321,-17.882277
43454,-24.163027,18.99213,-8.320427,10.986759,4.6754704,-11.176092,6.430984,9.15097,-40.428524,-14.919026,14.106149,4.452925,3.1591802,-7.3977094,-3.8930857,-22.52458,-7.330159,-9.169315,10.930782,21.340672,-16.067406,15.340081,47.824535,10.275447,22.860151,14.153186,7.1551647,-6.6260247,24.087955,-18.037893,-2.5578196,6.7885513,-5.903244,-21.84451,-11.621694,-19.556797,-12.084163
43453,-22.731596,12.962777,-25.676811,3.8534186,10.167011,-11.2333355,13.933346,12.285596,-19.007088,-15.5025,15.155352,6.423725,5.7285466,-4.356449,-10.929058,-15.443087,-10.519788,-7.7957873,10.270958,19.144835,-25.114002,9.026004,39.790016,6.500879,13.361076,32.766003,5.6513176,-2.9967144,18.6696,-9.77177,-9.924007,13.628871,-6.233315,-13.439755,-13.13821,-13.906664,-15.607514
43450,-12.013245,11.974514,-28.190268,6.523252,8.809411,-10.363458,6.9060106,11.576307,-20.636423,-7.68883,8.610374,5.389584,6.9466267,-4.2821565,-6.3031425,-8.459753,-2.195652,-2.3512332,4.7982206,23.533941,-49.46095,10.108938,52.156723,23.919107,29.561995,33.389843,11.986217,-3.9281242,17.114067,-10.739205,-3.3358395,14.516661,-5.250575,-6.939106,-24.392277,-21.625952,-12.523904
43448,-21.052973,13.326418,-11.270375,9.18017,8.150659,-16.992378,7.7531195,22.438238,-29.32824,-10.26677,16.409271,8.729652,6.6153703,-13.712213,-9.113785,-17.85237,-8.970789,-6.4748774,5.5247574,23.766623,-18.691683,12.92094,59.411247,10.854935,18.825106,19.110176,7.8326435,-10.568556,15.730165,-11.305103,-5.145693,14.5258045,-11.779091,-22.55223,-18.420853,-12.250235,-15.173004
43446,-23.224209,7.4051404,-10.153833,5.5125065,5.8393536,-12.158471,7.496451,11.7006645,-38.291527,-10.544553,13.354323,6.180568,5.8121743,-6.830082,-5.7045236,-17.642914,-3.4463623,-6.223142,10.281147,25.9736,-14.313962,31.561153,41.65485,5.631218,11.339786,15.156187,11.063204,-1.7807639,16.248436,-9.983141,-2.0585916,6.9450784,-8.689191,-38.379078,-6.341329,-11.196789,-14.099615
43445,-2.4260464,1.0701368,-1.3835249,0.68397814,1.5548453,-1.4818473,0.98221403,1.9390857,-3.364284,-1.2558742,1.1159382,1.264328,0.7115441,-0.64237547,-1.9272118,-1.8057929,-1.1218745,-0.62862587,1.3829026,1.4725986,-1.3429718,1.535889,3.8771071,0.5558457,1.2756159,1.489388,0.523998,-0.65672207,1.2077118,-1.0872579,-0.38557646,0.62559634,-1.1373359,-1.5954844,-1.0001156,-1.1841263,-1.5173849
43444,-2.4260464,1.0701368,-1.3835249,0.68397814,1.5548453,-1.4818473,0.98221403,1.9390857,-3.364284,-1.2558742,1.1159382,1.264328,0.7115441,-0.64237547,-1.9272118,-1.8057929,-1.1218745,-0.62862587,1.3829026,1.4725986,-1.3429718,1.535889,3.8771071,0.5558457,1.2756159,1.489388,0.523998,-0.65672207,1.2077118,-1.0872579,-0.38557646,0.62559634,-1.1373359,-1.5954844,-1.0001156,-1.1841263,-1.5173849
43443,-16.520845,6.1910734,-8.642736,4.868891,5.4456897,-10.420419,5.4631243,11.350817,-19.86493,-7.6712227,8.001558,7.081076,8.00735,-4.7166934,-4.995044,-15.835648,-5.9909406,-3.955999,6.5404267,15.744721,-12.840028,15.47601,27.896442,5.9457717,12.309839,13.282153,5.2357273,-3.776305,11.944383,-7.6617856,-2.2936914,7.4704585,-7.688684,-10.815466,-9.64745,-8.967566,-8.425781
43442,-2.4260464,1.0701368,-1.3835249,0.68397814,1.5548453,-1.4818473,0.98221403,1.9390857,-3.364284,-1.2558742,1.1159382,1.264328,0.7115441,-0.64237547,-1.9272118,-1.8057929,-1.1218745,-0.62862587,1.3829026,1.4725986,-1.3429718,1.535889,3.8771071,0.5558457,1.2756159,1.489388,0.523998,-0.65672207,1.2077118,-1.0872579,-0.38557646,0.62559634,-1.1373359,-1.5954844,-1.0001156,-1.1841263,-1.5173849
