weight
9kg
3kg
7.62kg
3.48kg
6kg
0.24kg
1.35kg
1.86kg
2.7kg(추정)
17kg(추정)
3.38kg
21kg
3.5kg
7.9kg
0.065kg
11.8kg
1kg(추정)
5.8kg
13.3kg
5kg
2.8kg
5kg(추정)
5.5kg
3.86kg
17.3kg
4kg(추정)
6kg(추정)
6.2kg
2.2kg
4.2kg
4.00(Kg)
4(Kg)
1.9kg
5.6kg
2.1kg
2.7kg
3.1kg
11.2kg
0.35kg(추정)
7.6kg
0.5kg(추정)
4.3kg
3kg(추정)
20kg(추정)
6.5kg
2kg
4kg
8kg(추정)
6.3kg
0.42kg
12kg(추정)
9kg(추정)
0.8kg(추정)
18(Kg)
1.00(Kg)
3.4kg
23kg
10kg(추정)
0.075kg
4.25kg
22kg(추정)
14.6kg
0.04kg(추정)
1.45kg
3.3kg
17kg
0.4kg
5.88kg
1.5kg
19.9kg
7.1kg
10.7kg
13kg
5.3kg
8.5kg
5.66kg
4.5kg
31.5kg
2.9kg
4.6kg
5.2kg
0.97kg
1kg
4.8kg
0.66kg
7kg(추정)
12.5kg
5.37kg
2.33kg
2Kg(추정)
6.93kg
5.4kg
4.7kg
1.2kg
15.7kg
6.8kg
40.00(Kg)
6.00(Kg)
4.4kg
3.6kg
0.7kg
3(Kg)
3.8kg
4.9kg
1.58kg
8.28kg
3.96kg
2.5kg
15kg
4.68kg
0.07kg
4.08kg
1.26kg
4.1kg
0.9kg
45kg(추정)
3.16kg
19.3kg
10kg
0.2kg(추정)
2.3kg
3.9kg
2.4kg
6.6kg
1.71kg
0.34kg
15kg(추정)
5.7kg
0.13kg
7kg
0.32kg
0.44kg
1.3kg
18kg(추정)
12.8kg
18kg
6.1kg
7.8kg
23kg(추정)
19kg
20kg
1.5kg(추정)
7.3kg
16kg
8kg
5.17kg
4.42kg
5.1kg
7.7kg
2.63kg
3.2kg
12kg
7.65kg
14.7kg
5.52kg
2.97kg
13.9kg
4.74kg
11kg
1.18kg
1.59kg
1.05kg
1.09kg
0.76kg
1.1kg
1.7kg
6.74kg
7.95kg
25kg(추정)
4.52kg
2.6kg
1.13kg
28kg(추정)
0.68kg
9.37kg
3.57kg
2.76kg
3.9kg(추정)
1.03kg
0.15kg
0.025kg(추정)
5.71kg
7.64kg
4.65kg
4.82kg
18.3kg
2kg)
9.8kg
16.4kg
0.21kg
0.41kg
0.36kg
0.034kg
0.046kg
35kg
8(Kg)
16.5kg
8.4kg
0.28kg
0.116kg
0.109kg
27.3kg
14.4kg
0.11kg
11.1kg
1.56kg
13.6kg
0.2kg
30kg(추정)
0.209kg
15.3kg
18.8kg
15.4kg
3.73kg
32kg(추정)
37.3kg
29.2kg
16kg(추정)
6.39kg
24kg(추정)
10.3kg
0.1kg(추정)
3.75kg
2.25kg
5(Kg)
16(Kg)
14kg(추정)
14kg
13.7kg
3.49kg
3.85kg
4.05kg
20.6kg
17.4kg
7.4kg
0.14kg
0.16kg
0.18kg
9.4kg
27kg(추정)
4.46kg
12.00(Kg)
14.00(Kg)
5.00(Kg)
4.15kg
2kg(추정)
2.55kg
9.44kg
3.17kg
5.24kg
15.2kg
4.78kg
22.5kg
24.1kg
15.00(Kg)
2.16kg
10.5kg
10.6kg
3.98kg
4.5kg(추정)
1.77kg
1.29kg
1.04kg
8.3kg
6.96kg
0.1kg
0.097kg(추정)
0.094kg
2.09kg
9.6kg
2.095kg
25(Kg)
35kg(추정)
3.68kg
11.4kg
4.59kg
18.2kg
17.5kg
0.095kg
6.9kg
12.3kg
4.28kg
3.45kg
2.88kg
9.46kg
32.00(Kg)
15(Kg)
2.28kg
